original_folder,display_name_cleaned,standard_chain,standard_segment,main_company_count_original,source_files,original_fields_available,original_node_samples
人工智能产业链企查查,人工智能,人工智能产业链,人工智能,22251,人工智能产业链企查查/人工智能产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,ASIC(特殊应用IC)、CPU芯片、GPU(图形处理器)、IDC服务、云计算服务、人工智能开放平台、传感器、垂直大模型、复杂可编程逻辑器件(FPGA)、数据管理
智能视觉,智能视觉,人工智能产业链,智能视觉,6443,智能视觉/智能视觉产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
智能语音识别,智能语音识别,人工智能产业链,智能语音识别,5281,智能语音识别/智能语音识别产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、通信地址、邮箱,
体外诊断产业链企查查,体外诊断,医药生物与医疗健康产业链,体外诊断,1082,体外诊断产业链企查查/体外诊断.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、体外诊断服务、体外诊断类软件、体外诊断耗材、免疫分析设备、免疫诊断试剂、其他体外诊断设备、其他体外诊断试剂、分子生物学分析设备、分子诊断试剂
化学药品产业链企查查,化学药品,医药生物与医疗健康产业链,化学药品,10334,化学药品产业链企查查/化学药品.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,SMO服务、专科医院运营、儿科用药、免疫系统用药、医药CDMO、医药CMO、医药CRO、医药中间体、医药批发、医药电商
医疗器械产业链企查查,医疗器械,医药生物与医疗健康产业链,医疗器械,17013,医疗器械产业链企查查/医疗器械.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、专科医院运营、中医器械、中医院运营、体外诊断设备及耗材制造、其他医院运营、医用决策支持软件、医用康复器械、医用影像处理软件、医用成像器械
医疗数字化,医疗数字化,医药生物与医疗健康产业链,医疗数字化,342,医疗数字化/医疗数字化产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
医疗机器人,医疗机器人,医药生物与医疗健康产业链,医疗机器人,166244,医疗机器人/医疗机器人.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
医药生物产业链企查查,医药生物,医药生物与医疗健康产业链,医药生物,32413,医药生物产业链企查查/医药生物.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,SMO服务、专科医院运营、中医器械、中成药、中药材/饮片、体外诊断设备、体外诊断试剂及耗材、化药制剂、医用决策支持软件、医用康复器械
生物药品产业链企查查,生物药品,医药生物与医疗健康产业链,生物药品,5049,生物药品产业链企查查/生物药品.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,专科医院运营、中医院运营、亚单位疫苗与多肽疫苗、免疫球蛋白、其他医院运营、其他生物药品、其他疫苗、其他血液制品、减毒疫苗、凝血因子
