standard_chain,source_direction_count,dedup_company_count_main,sum_original_company_count_main,cross_direction_duplicate_count,segments,original_folders
数据要素与数字经济产业链,5,504071,572327,68256,大数据、数字经济、数据创意、数据服务、数据要素,大数据产业链企查查；数字经济产业链企查查；数据创意；数据服务；数据要素产业链企查查
高端装备与智能制造产业链,4,280659,287744,7085,数控机床、机械设备、激光、高端装备制造,数控机床；机械设备产业链企查查；激光；高端装备制造
基础设施与城市建设产业链,3,279594,339371,59777,公用事业、基础设施建设、房地产,公用事业产业链企查查；基础设施建设产业链企查查；房地产产业链企查查
医药生物与医疗健康产业链,7,201148,232477,31329,体外诊断、化学药品、医疗器械、医疗数字化、医疗机器人、医药生物、生物药品,体外诊断产业链企查查；化学药品产业链企查查；医疗器械产业链企查查；医疗数字化；医疗机器人；医药生物产业链企查查；生物药品产业链企查查
新能源与电力装备产业链,6,182232,185175,2943,储能、光伏、光伏生产设备、特高压、锂离子电池、风电,储能类；光伏产业链企查查；光伏生产设备；特高压产业链企查查；锂离子电池产业链企查查；风电产业链企查查
智能物联与消费电子产业链,5,155990,174017,18027,家用电器、智能手机、智能物联、消费电子、物联网,家用电器产业链企查查；智能手机产业链企查查；智能物联；消费电子产业链企查查；物联网产业链企查查
石油化工产业链,1,113876,113876,0,石油化工,石油化工产业链企查查
汽车与智能网联汽车产业链,5,95057,170527,75470,汽车、汽车电子、汽车轻量化、汽车零部件、自动驾驶,汽车产业链企查查；汽车电子产业链企查查；汽车轻量化产业链企查查；汽车零部件产业链企查查；自动驾驶产业链企查查
食品饮料产业链,1,91223,91223,0,食品饮料,食品饮料产业链企查查
新一代信息基础设施产业链,7,86747,112959,26212,5G通信、IDC数据中心、云计算、光通信、服务器、网络通信、边缘计算,5G产业链企查查；IDC产业链企查查；云计算产业链企查查；光通信；服务器；网络通讯；边缘计算
绿色环保与资源循环产业链,5,71552,85711,14159,大气治理、污水处理、环保、碳中和、资源循环利用,大气治理产业链企查查；污水处理产业链企查查；环保产业链企查查；碳中和产业链企查查；资源循环利用产业链企查查
新材料产业链,1,41848,41848,0,新材料,新材料产业链企查查
空天装备与低空经济产业链,3,39994,42312,2318,低空经济、空天装备、航空航天装备,低空经济产业链企查查；空天装备；航空航天装备产业链企查查
机器人产业链,4,34733,39862,5129,人形机器人、工业机器人、机器人综合、机器人补充清单,人形机器人；工业机器人；机器人；机器人产业链企查查
人工智能产业链,3,32422,33975,1553,人工智能、智能视觉、智能语音识别,人工智能产业链企查查；智能视觉；智能语音识别
半导体与集成电路产业链,4,26356,34347,7991,半导体、半导体材料、半导体设备、集成电路,半导体产业链企查查；半导体材料产业链企查查；半导体设备产业链企查查；集成电路产业链企查查
纺织产业链,1,24699,24699,0,纺织,纺织产业链企查查
新型显示与虚拟现实产业链,3,23018,23556,538,新型显示、显示屏、虚拟现实VR,新型显示；显示屏产业链企查查；虚拟现实VR
软件与数字安全产业链,3,14184,14606,422,区块链、国产软件、网络安全,区块链；国产软件产业链企查查；网络安全产业链企查查
