record_id,old_filename,new_filename,old_relative_path,new_relative_path,naming_basis,source_page_url,download_url,sha256,status
HNZJ-460103/460103,645118420AB9ED9872C0D0C2A60_6A030C9B_1CF0E3.pdf,河南职业技术学院-数控技术专业群-数控技术.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460103_数控技术/645118420AB9ED9872C0D0C2A60_6A030C9B_1CF0E3.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460103_数控技术/河南职业技术学院-数控技术专业群-数控技术.pdf,学校-专业群-专业兜底,https://jwc.hnzj.edu.cn/info/1129/4576.htm,https://jwc.hnzj.edu.cn/__local/1/21/92/645118420AB9ED9872C0D0C2A60_6A030C9B_1CF0E3.pdf,950a2eca613d242f15fd73733290f2f2a6b19992a9df927b75b86c81e45c993c,已执行
HNZJ-460103/460301,F1D3D14DC94E6FA22F71E26C9EF_12421701_1C1A31.pdf,河南职业技术学院-数控技术专业群-机电一体化技术.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460301_机电一体化技术/F1D3D14DC94E6FA22F71E26C9EF_12421701_1C1A31.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460301_机电一体化技术/河南职业技术学院-数控技术专业群-机电一体化技术.pdf,学校-专业群-专业兜底,https://jwc.hnzj.edu.cn/info/1129/4578.htm,https://jwc.hnzj.edu.cn/__local/9/19/69/F1D3D14DC94E6FA22F71E26C9EF_12421701_1C1A31.pdf,91c12ffa0f21a1108f350c07378ad9ea51c6905e07909ecaa69750523619d5f6,已执行
HNZJ-460103/460305,154846178431A93E5E97D008CAD_0A5769BA_126F23.pdf,河南职业技术学院-数控技术专业群-工业机器人技术.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460305_工业机器人技术/154846178431A93E5E97D008CAD_0A5769BA_126F23.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460305_工业机器人技术/河南职业技术学院-数控技术专业群-工业机器人技术.pdf,学校-专业群-专业兜底,https://jwc.hnzj.edu.cn/info/1239/4586.htm,https://jwc.hnzj.edu.cn/__local/8/E3/5B/154846178431A93E5E97D008CAD_0A5769BA_126F23.pdf,8e6e00594b015a65adb3576e26fdaa503021ea35161ddd0f52c798112519f9ff,已执行
HNZJ-460103/460113,D21E2888A75CCFF1BAC90E87ED2_BAFEDFE1_116EDC.pdf,河南职业技术学院-数控技术专业群-模具设计与制造.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460113_模具设计与制造/D21E2888A75CCFF1BAC90E87ED2_BAFEDFE1_116EDC.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460113_模具设计与制造/河南职业技术学院-数控技术专业群-模具设计与制造.pdf,学校-专业群-专业兜底,https://jwc.hnzj.edu.cn/info/1238/4573.htm,https://jwc.hnzj.edu.cn/__local/4/06/7C/D21E2888A75CCFF1BAC90E87ED2_BAFEDFE1_116EDC.pdf,9e28b30f5ea2515b16b33840733e9045cc3be2748e617b9ea9a1954038a6ae06,已执行
HNZJ-460103/460110,D757DB8F09C15260F4463DAC15E_755D5354_EC919.pdf,河南职业技术学院-数控技术专业群-智能焊接技术.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460110_智能焊接技术/D757DB8F09C15260F4463DAC15E_755D5354_EC919.pdf,documents/河南/HNZJ_河南职业技术学院/数控技术专业群/460110_智能焊接技术/河南职业技术学院-数控技术专业群-智能焊接技术.pdf,学校-专业群-专业兜底,https://jwc.hnzj.edu.cn/info/1238/4574.htm,https://jwc.hnzj.edu.cn/__local/C/04/FD/D757DB8F09C15260F4463DAC15E_755D5354_EC919.pdf,264512fcca73a2d2838e79ece1618311a105233777cba00081ab023cf959085c,已执行
HFVT-590302/590302,AF01A5884BE49122B9A556E67C0_FC1BD184_B7035.pdf,合肥职业技术学院-智慧健康养老服务与管理专业群-智慧健康养老服务与管理.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/590302_智慧健康养老服务与管理/AF01A5884BE49122B9A556E67C0_FC1BD184_B7035.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/590302_智慧健康养老服务与管理/合肥职业技术学院-智慧健康养老服务与管理专业群-智慧健康养老服务与管理.pdf,学校-专业群-专业兜底,https://hzyxy.htc.edu.cn/info/1102/15683.htm,https://hzyxy.htc.edu.cn/__local/3/92/71/AF01A5884BE49122B9A556E67C0_FC1BD184_B7035.pdf,c5e9f5d0c6e6be8c3a348e02d2f2091b5e8283fde1d34a0183bd2513990d243f,已执行
HFVT-590302/520201,A9BC4A15205E10408070ABD48E8_1F7F2E3E_BBD4C.pdf,合肥职业技术学院-智慧健康养老服务与管理专业群-护理.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520201_护理/A9BC4A15205E10408070ABD48E8_1F7F2E3E_BBD4C.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520201_护理/合肥职业技术学院-智慧健康养老服务与管理专业群-护理.pdf,学校-专业群-专业兜底,https://hzyxy.htc.edu.cn/info/1102/15643.htm,https://hzyxy.htc.edu.cn/__local/7/1B/30/A9BC4A15205E10408070ABD48E8_1F7F2E3E_BBD4C.pdf,63d5e50fbc050c97fcba0c42193fa718421dde604696c90922ef76ade1283988,已执行
HFVT-590302/520501,EDEBC8E37D69F7BB16C0D0C7171_E90BE20D_A6294.pdf,合肥职业技术学院-智慧健康养老服务与管理专业群-医学检验技术.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520501_医学检验技术/EDEBC8E37D69F7BB16C0D0C7171_E90BE20D_A6294.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520501_医学检验技术/合肥职业技术学院-智慧健康养老服务与管理专业群-医学检验技术.pdf,学校-专业群-专业兜底,https://hzyxy.htc.edu.cn/info/1102/15673.htm,https://hzyxy.htc.edu.cn/__local/0/C8/C5/EDEBC8E37D69F7BB16C0D0C7171_E90BE20D_A6294.pdf,15a8abc6ec4cd5542f93e2fcbac49e5e9e34889330234c61abbdbf75fb7bbbca,已执行
HFVT-590302/520101K,4F34591807689D98323A7A3F015_D796F134_B70E7.pdf,合肥职业技术学院-智慧健康养老服务与管理专业群-临床医学.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520101K_临床医学/4F34591807689D98323A7A3F015_D796F134_B70E7.pdf,documents/安徽/HFVT_合肥职业技术学院/智慧健康养老服务与管理专业群/520101K_临床医学/合肥职业技术学院-智慧健康养老服务与管理专业群-临床医学.pdf,学校-专业群-专业兜底,https://hzyxy.htc.edu.cn/info/1102/15663.htm,https://hzyxy.htc.edu.cn/__local/1/34/A5/4F34591807689D98323A7A3F015_D796F134_B70E7.pdf,858cea72919ac62b548cbb20fadbd7d6b8ba82198eea603570b84aaa25dcd47f,已执行
FJCPC-500301/500301,1363a176-9c3d-46ed-972d-f30e6ef18f9c.pdf,2025级航海技术专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/500301_航海技术/1363a176-9c3d-46ed-972d-f30e6ef18f9c.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/500301_航海技术/2025级航海技术专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3769a101239/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/5c/b7/17bdfab449cf8c7ac21f3cb23c20/1363a176-9c3d-46ed-972d-f30e6ef18f9c.pdf,2b17a6d4e26ee1d4b4178479de84d6873fb1a48d78354b48bc8913a61d12101b,已执行
FJCPC-500301/500303,c8e099e7-6d6f-49ec-acf5-6b09caa82f94.pdf,2025级轮机工程技术专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/500303_轮机工程技术/c8e099e7-6d6f-49ec-acf5-6b09caa82f94.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/500303_轮机工程技术/2025级轮机工程技术专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3769a101240/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/21/ad/0a0be62741df893903d602c4c933/c8e099e7-6d6f-49ec-acf5-6b09caa82f94.pdf,049c398990ee75f1de19bc5f4abaec444573c9a2b6416410eecc8e9587b893d2,已执行
FJCPC-500301/460501,28d09b61-b715-4628-8d38-266a5130a029.pdf,2025船舶工程技术人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/460501_船舶工程技术/28d09b61-b715-4628-8d38-266a5130a029.pdf,documents/福建/FJCPC_福建船政交通职业学院/航海技术专业群/460501_船舶工程技术/2025船舶工程技术人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3769a101237/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/a5/fc/dcbc4a7a466e9818c6e73a62da91/28d09b61-b715-4628-8d38-266a5130a029.pdf,17375864a2fd3c0ec3207079e0751fe42ded93dd783a1aca599ebd1e8da0026c,已执行
FJCPC-500201/500201,17b1a03e-f6aa-4255-9f6d-d6c3946bda69.pdf,2025级道路桥梁工程专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/500201_道路与桥梁工程技术/17b1a03e-f6aa-4255-9f6d-d6c3946bda69.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/500201_道路与桥梁工程技术/2025级道路桥梁工程专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3774a101261/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/4c/9d/e9efe51341bc85480a4b91105646/17b1a03e-f6aa-4255-9f6d-d6c3946bda69.pdf,25f9cdf2aa3da5bcb8ffce9aea0e77220e5bd2e2923bf12faabcb1ade103a1aa,已执行
FJCPC-500201/500207,cdcf220f-ae7c-4ce6-bc12-526d84a58e0f.pdf,2025级智能交通技术专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/500207_智能交通技术/cdcf220f-ae7c-4ce6-bc12-526d84a58e0f.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/500207_智能交通技术/2025级智能交通技术专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3774a101266/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/5f/16/338c556a4f878a811610764652a8/cdcf220f-ae7c-4ce6-bc12-526d84a58e0f.pdf,0cb96b1c92ced70de758869319c5c3174f37081d0e98339671fb47d3ce79dd33,已执行
FJCPC-500201/420303,0a8f43ea-fb43-49d1-8042-bd7541f05fd5.pdf,2025级测绘地理信息技术专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420303_测绘地理信息技术/0a8f43ea-fb43-49d1-8042-bd7541f05fd5.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420303_测绘地理信息技术/2025级测绘地理信息技术专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3774a101260/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/c4/5f/b1cc12f444a3b7f8bb786ceba921/0a8f43ea-fb43-49d1-8042-bd7541f05fd5.pdf,6511534fda8c867a706dc89e12cea3f1d24ffc70f372c76b143892e16b40aaf7,已执行
FJCPC-500201/420901,bbf9383f-bbf6-45c5-a43b-42e8205e632f.pdf,2025级安全技术与管理专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420901_安全技术与管理/bbf9383f-bbf6-45c5-a43b-42e8205e632f.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420901_安全技术与管理/2025级安全技术与管理专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3777a101235/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/5f/41/9d3fd8b6449fa894fcea81e18a05/bbf9383f-bbf6-45c5-a43b-42e8205e632f.pdf,c897384337a654fe910819c5a71e62ff0aeb998a418fc1fe5f5fb94f1f86f28f,已执行
FJCPC-500201/420802,fc32ad83-ae28-4241-bb40-4edd77b84d50.pdf,2025级环境工程技术专业人才培养方案.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420802_环境工程技术/fc32ad83-ae28-4241-bb40-4edd77b84d50.pdf,documents/福建/FJCPC_福建船政交通职业学院/道路与桥梁工程技术专业群/420802_环境工程技术/2025级环境工程技术专业人才培养方案.pdf,官网附件标题,https://www.fjcpc.edu.cn/jwc/2025/0831/c3777a101236/page.htm,https://www.fjcpc.edu.cn/_upload/article/files/0d/02/0b7500fc4537b57b4669abc9c31c/fc32ad83-ae28-4241-bb40-4edd77b84d50.pdf,75cdbca035ae74e63c1e43481b743c61fdd34626d24a9092b535e93d1505e38d,已执行
JXXD-510101/510109,41be309704.pdf,附件2.2025级智能光电技术应用专业人才培养方案.pdf,documents/江西/JXXD_江西现代职业技术学院/电子信息工程技术专业群/510109_智能光电技术应用/41be309704.pdf,documents/江西/JXXD_江西现代职业技术学院/电子信息工程技术专业群/510109_智能光电技术应用/附件2.2025级智能光电技术应用专业人才培养方案.pdf,官网附件标题,https://jiaowc.jxxdxy.edu.cn/news-show-937.html,https://jiaowc.jxxdxy.edu.cn/uploadfile/71/Attachment/41be309704.pdf,824a23a5fbb2092e44f737acc4cbba854c074f61fdbaafd5def1a09ea8777bf5,已执行
ZZRVTC-500105/500105,6a3d4b17-fefe-41e9-8ce4-df0a34ba3831.pdf,郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道机车运用与维护.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500105_铁道机车运用与维护/6a3d4b17-fefe-41e9-8ce4-df0a34ba3831.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500105_铁道机车运用与维护/郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道机车运用与维护.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1120/c3513a136920/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/72/0d/1b87f2574bbb9fbec39ac622f633/6a3d4b17-fefe-41e9-8ce4-df0a34ba3831.pdf,8e56491357e161e76b14ebc5f893ae05ca901bf05d4f7553c547ceedec8e13c9,已执行
ZZRVTC-500105/500106,ce6a7786-dee7-4298-8cef-7d5f30fa1dc8.pdf,郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道车辆技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500106_铁道车辆技术/ce6a7786-dee7-4298-8cef-7d5f30fa1dc8.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500106_铁道车辆技术/郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道车辆技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2026/0107/c3513a138910/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/91/ef/83cfb64e4fceae7f7dd7f380d585/ce6a7786-dee7-4298-8cef-7d5f30fa1dc8.pdf,149acf267e34cf2c946328aa13fbfdf9f0d1a1d2395b96030ffea9a58620746b,已执行
ZZRVTC-500105/500108,733c055f-ad01-4573-9bab-488d7d285ffc.pdf,郑州铁路职业技术大学-铁道机车运用与维护专业群-动车组检修技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500108_动车组检修技术/733c055f-ad01-4573-9bab-488d7d285ffc.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500108_动车组检修技术/郑州铁路职业技术大学-铁道机车运用与维护专业群-动车组检修技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2026/0107/c3513a138908/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/b5/cc/ef3f29ee4ea7ab2d17aaa0ddf54e/733c055f-ad01-4573-9bab-488d7d285ffc.pdf,d396e2741cedd0a8f576bdf13fcd1969a8df268eac7c41bf1b3ffe2e152c8c1b,已执行
ZZRVTC-500105/500104,e0598103-c467-4b8b-87ac-e69dd58986df.pdf,郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道养路机械应用技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500104_铁道养路机械应用技术/e0598103-c467-4b8b-87ac-e69dd58986df.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500104_铁道养路机械应用技术/郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道养路机械应用技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1120/c3513a136919/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/a0/53/4ab03c2c4f61a3350c8a498f5764/e0598103-c467-4b8b-87ac-e69dd58986df.pdf,4d9a805a3c2a4cb939d88278bb6e0dd91a1f01e9d7e3b54ce927dac1764d6aa2,已执行
ZZRVTC-500105/500112,beb0acdd-0a37-4177-97af-c146b712a4ac.pdf,郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道交通运营管理.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500112_铁道交通运营管理/beb0acdd-0a37-4177-97af-c146b712a4ac.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/铁道机车运用与维护专业群/500112_铁道交通运营管理/郑州铁路职业技术大学-铁道机车运用与维护专业群-铁道交通运营管理.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1011/c3513a136083/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/b3/70/13bda3bb4d028b0a21a92ae02836/beb0acdd-0a37-4177-97af-c146b712a4ac.pdf,86bd9f8b094620430b08c00de49e7b23a7667c921807d9c825c768ac443db0da,已执行
ZZRVTC-500109/500109,9702d179-4a7c-4923-a1be-b89df51ba211.pdf,郑州铁路职业技术大学-高速铁路综合维修技术专业群-高速铁路综合维修技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500109_高速铁路综合维修技术/9702d179-4a7c-4923-a1be-b89df51ba211.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500109_高速铁路综合维修技术/郑州铁路职业技术大学-高速铁路综合维修技术专业群-高速铁路综合维修技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1121/c3513a137050/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/41/a9/d6312634484294ebb7bcc87258e8/9702d179-4a7c-4923-a1be-b89df51ba211.pdf,b6536cb606b77777c7476ccebd9d70d0a2dfb4b61681707efd0741a8f834162f,已执行
ZZRVTC-500109/500107,3bb66b13-eeb6-47e1-8b1b-7f8b1edf3c9e.pdf,郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道供电技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500107_铁道供电技术/3bb66b13-eeb6-47e1-8b1b-7f8b1edf3c9e.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500107_铁道供电技术/郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道供电技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1121/c3513a137049/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/23/ca/cf8a9a0c43fca4491f6a42e391a7/3bb66b13-eeb6-47e1-8b1b-7f8b1edf3c9e.pdf,04bb28c75ae1e6903ddb12d831bb57bfea59d62f412567db9249fa246ae87c6b,已执行
ZZRVTC-500109/500111,a0e910bd-68d0-4ff9-befd-1ebd4d660d93.pdf,郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道通信与信息化技术.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500111_铁道通信与信息化技术/a0e910bd-68d0-4ff9-befd-1ebd4d660d93.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500111_铁道通信与信息化技术/郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道通信与信息化技术.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1120/c3513a136924/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/fc/32/35794d5c4eb480f22747d12ff768/a0e910bd-68d0-4ff9-befd-1ebd4d660d93.pdf,7de2154784dd00a51bbeda83aa83bc09ff4d2d42f727de20b9a4a94d0e454379,已执行
ZZRVTC-500109/500110,53842298-f809-4653-be19-2a3b12334b5d.pdf,郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道信号自动控制.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500110_铁道信号自动控制/53842298-f809-4653-be19-2a3b12334b5d.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500110_铁道信号自动控制/郑州铁路职业技术大学-高速铁路综合维修技术专业群-铁道信号自动控制.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1120/c3513a136923/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/ba/2d/8b2cd8d1438e92a30a020f8084d5/53842298-f809-4653-be19-2a3b12334b5d.pdf,1f310ea641138b50a8544ff71a935ad9825a62d5eeb672538cbcd2644a0bcf7d,已执行
ZZRVTC-500109/500102,0ff32a0e-6f75-4036-a43a-550d97684626.pdf,郑州铁路职业技术大学-高速铁路综合维修技术专业群-高速铁路施工与维护.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500102_高速铁路施工与维护/0ff32a0e-6f75-4036-a43a-550d97684626.pdf,documents/河南/ZZRVTC_郑州铁路职业技术大学/高速铁路综合维修技术专业群/500102_高速铁路施工与维护/郑州铁路职业技术大学-高速铁路综合维修技术专业群-高速铁路施工与维护.pdf,学校-专业群-专业兜底,https://www.zzrvtc.edu.cn/jwgl2/2025/1120/c3513a136918/page.htm,https://www.zzrvtc.edu.cn/_upload/article/files/4a/12/967082ae4911955d58772d95f0e9/0ff32a0e-6f75-4036-a43a-550d97684626.pdf,7457ead80dc2c35930fff5fe54b10590ed0c10c45dffd6922c1524f7c5bee120,已执行
HBPI-520201/520201,66C7163716339C168401CA67A6F_607B1864_C5C97.pdf,湖北职业技术学院-护理专业群-护理.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520201_护理/66C7163716339C168401CA67A6F_607B1864_C5C97.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520201_护理/湖北职业技术学院-护理专业群-护理.pdf,学校-专业群-专业兜底,https://jwc.hbvtc.edu.cn/info/1041/3937.htm,https://jwc.hbvtc.edu.cn/__local/F/1E/D8/66C7163716339C168401CA67A6F_607B1864_C5C97.pdf,ce80a7714c7b25f10bf30baf1f89d3df1858db0efce8c181857ee5a4a21efcf8,已执行
HBPI-520201/520202,03CB389C286454815634D2FAAEE_E456FC9C_C55F6.pdf,湖北职业技术学院-护理专业群-助产.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520202_助产/03CB389C286454815634D2FAAEE_E456FC9C_C55F6.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520202_助产/湖北职业技术学院-护理专业群-助产.pdf,学校-专业群-专业兜底,https://jwc.hbvtc.edu.cn/info/1041/3934.htm,https://jwc.hbvtc.edu.cn/__local/0/BD/E0/03CB389C286454815634D2FAAEE_E456FC9C_C55F6.pdf,cc68cbefe9e1e02368da04d86ced267b76321c651568523784d684520af7c139,已执行
HBPI-520201/520507,7E5976BDA0628DCD82A06A424F9_77282358_B3807.pdf,湖北职业技术学院-护理专业群-医学美容技术.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520507_医学美容技术/7E5976BDA0628DCD82A06A424F9_77282358_B3807.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/520507_医学美容技术/湖北职业技术学院-护理专业群-医学美容技术.pdf,学校-专业群-专业兜底,https://jwc.hbvtc.edu.cn/info/1041/3933.htm,https://jwc.hbvtc.edu.cn/__local/8/A6/AF/7E5976BDA0628DCD82A06A424F9_77282358_B3807.pdf,2ff94f57aac73f34c7e51e95aabbc7f9ebd27c511d1c10beecaeea62a92ce4bc,已执行
HBPI-520201/590302,25A13FDF17B0510D32C7427DE87_F200DDC8_C46D9.pdf,湖北职业技术学院-护理专业群-智慧健康养老服务与管理.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/590302_智慧健康养老服务与管理/25A13FDF17B0510D32C7427DE87_F200DDC8_C46D9.pdf,documents/湖北/HBPI_湖北职业技术学院/护理专业群/590302_智慧健康养老服务与管理/湖北职业技术学院-护理专业群-智慧健康养老服务与管理.pdf,学校-专业群-专业兜底,https://jwc.hbvtc.edu.cn/info/1041/3932.htm,https://jwc.hbvtc.edu.cn/__local/3/F7/89/25A13FDF17B0510D32C7427DE87_F200DDC8_C46D9.pdf,06982dbeb36e149214f2d02188d911c8e7543a6c91da6ae974d6909c9b2e7e90,已执行
