institution_code,seed_url,seed_type,evidence_url,verification_status
GDIPU,https://www.gdipu.edu.cn/info/1057/27213.htm,official_second_phase_group_news,https://www.gdipu.edu.cn/info/1057/27213.htm,verified
GDIPU,https://www.gdipu.edu.cn/info/1057/21413.htm,official_second_phase_construction_news,https://www.gdipu.edu.cn/info/1057/21413.htm,verified
GDIPU,https://www.gdipu.edu.cn/__local/B/95/83/69304F0B1B11721E4BA357E1CF8_8BA9481A_9A0A33.pdf,official_2025_quality_report,https://www.gdipu.edu.cn/__local/B/95/83/69304F0B1B11721E4BA357E1CF8_8BA9481A_9A0A33.pdf,verified
GDIPU,https://xxgk.gdipu.edu.cn/__local/D/E1/2B/7AB8D050A26D80051E0E006E5E1_34B6ECD4_ED80C1.pdf,official_2024_quality_report,https://xxgk.gdipu.edu.cn/__local/D/E1/2B/7AB8D050A26D80051E0E006E5E1_34B6ECD4_ED80C1.pdf,verified
GDIPU,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,official_2023_group_membership_report,https://cqgc.gdipu.edu.cn/__local/0/BA/4B/B81A5BBB44BFD8F14829BD62981_3EEE2B6C_4063E3.pdf,verified
GDIPU,https://jdx.gdipu.edu.cn/bygk1/xyjj.htm,official_mechanical_college_profile,https://jdx.gdipu.edu.cn/bygk1/xyjj.htm,verified
GDIPU,https://sp.gdipu.edu.cn/info/1151/6582.htm,official_chemical_biotechnology_major_page,https://sp.gdipu.edu.cn/info/1151/6582.htm,verified
GDIPU,https://sp.gdipu.edu.cn/info/1151/6602.htm,official_food_nutrition_major_page,https://sp.gdipu.edu.cn/info/1151/6602.htm,verified
GDIPU,https://sp.gdipu.edu.cn/info/1151/6572.htm,official_biopharmaceutical_major_page,https://sp.gdipu.edu.cn/info/1151/6572.htm,verified
GDIPU,https://jwc.gdipu.edu.cn/info/1063/4143.htm,official_2025_plan_preparation_notice,https://jwc.gdipu.edu.cn/info/1063/4143.htm,verified
GDIPU,https://jwc.gdipu.edu.cn/info/1063/4453.htm,official_2025_plan_evaluation_notice,https://jwc.gdipu.edu.cn/info/1063/4453.htm,verified
GDIPU,https://jwc.gdipu.edu.cn/system/_content/download.jsp?owner=1610676122&urltype=news.DownloadAttachUrl&wbfileid=ED4DD608A9FF30396671E8B73BECDC7E,official_2025_plan_detail_spreadsheet,https://jwc.gdipu.edu.cn/info/1063/4143.htm,access_blocked
