group_id,major_code,major_name,membership_evidence_url,verification_status
GZPU-510205,510205,大数据技术,https://www.gzhpu.edu.cn/xxgcxy/xydt/content_71220,verified
GZPU-510205,510209,人工智能技术应用,https://www.gzhpu.edu.cn/xxgcxy/xydt/content_71220,verified
GZPU-510205,510203,软件技术,https://www.gzhpu.edu.cn/xxgcxy/xydt/content_71220,verified
GZPU-510205,510202,计算机网络技术,https://www.gzhpu.edu.cn/xxgcxy/xydt/content_71220,verified
GZPU-510205,510212,区块链技术应用,https://www.gzhpu.edu.cn/xxgcxy/xydt/content_71220,verified
GZPU-460701,460701,汽车制造与试验技术,https://www.gzhpu.edu.cn/znzzxy/zysz/gyjqrjs/content_66809,verified
GZPU-460701,460305,工业机器人技术,https://www.gzhpu.edu.cn/znzzxy/zysz/gyjqrjs/content_66809,verified
GZPU-460701,460104,机械制造及自动化,https://www.gzhpu.edu.cn/znzzxy/zysz/gyjqrjs/content_66809,verified
GZPU-460701,460306,电气自动化技术,https://www.gzhpu.edu.cn/znzzxy/zysz/gyjqrjs/content_66809,verified
GZPU-460701,460702,新能源汽车技术,https://www.gzhpu.edu.cn/znzzxy/zysz/gyjqrjs/content_66809,verified
