group_id,major_code,major_name,membership_evidence_url,verification_status
HNAE-460702,460702,新能源汽车技术,https://www.tech.net.cn/upfiles/zlbg2022/xx/hunan/hunan%20%2828%29.pdf,verified
HNAE-460702,500211,汽车检测与维修技术,https://www.tech.net.cn/upfiles/zlbg2022/xx/hunan/hunan%20%2828%29.pdf,verified
HNAE-460702,500210,汽车技术服务与营销,https://www.tech.net.cn/upfiles/zlbg2022/xx/hunan/hunan%20%2828%29.pdf,verified
HNAE-460702,460705,汽车造型与改装技术,https://www.tech.net.cn/upfiles/zlbg2022/xx/hunan/hunan%20%2828%29.pdf,verified
HNAE-460603,460603,航空发动机制造技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,460103,数控技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,460610,航空材料精密成型技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,460601,飞行器数字化制造技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,460609,无人机应用技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
HNAE-460603,460303,智能控制技术,https://www.tech.net.cn/upfiles/zlbg2023/xx/hunan/hunan%20%2829%29.pdf,verified
