group_id,major_code,major_name,membership_evidence_url,verification_status
JXPU-460501,460501,船舶工程技术,https://www.jxpu.edu.cn/info/1021/15484.htm,verified
JXPU-460501,460502,船舶动力工程技术,https://www.jxpu.edu.cn/info/1021/15484.htm,verified
JXPU-460501,460103,数控技术,https://www.jxpu.edu.cn/info/1021/15484.htm,verified
JXPU-460501,460306,电气自动化技术,https://www.jxpu.edu.cn/info/1021/15484.htm,verified
JXPU-460501,460119,工业产品质量检测技术,https://www.jxpu.edu.cn/info/1021/15484.htm,verified
JXPU-510101,510101,电子信息工程技术,https://dqgcxy.jxpu.edu.cn/info/1233/2334.htm,verified
JXPU-510101,510103,应用电子技术,https://dqgcxy.jxpu.edu.cn/info/1232/4042.htm,verified
JXPU-510101,510301,现代通信技术,https://dqgcxy.jxpu.edu.cn/info/1239/2132.htm,verified
JXPU-510101,310102,物联网工程技术,https://xxgcxy.jxpu.edu.cn/xygk.htm,verified
JXPU-510101,310209,人工智能工程技术,https://xxgcxy.jxpu.edu.cn/xygk.htm,verified
JXPU-510101,510206,云计算技术应用,https://xxgcxy.jxpu.edu.cn/xygk.htm,verified
