group_id,major_code,major_name,membership_evidence_url,verification_status
ZIME-260102,260102,智能制造工程技术,https://www.zime.edu.cn/__local/F/B3/3C/1344FF7F05EA344CA556554BD06_92886B0D_574EB9.pdf,verified
ZIME-260102,260101,机械设计制造及自动化,https://www.zime.edu.cn/__local/9/2F/C5/C9239DC278DC131F30FE85C123B_CFE18E88_940162.pdf,verified
ZIME-260102,260106,材料成型及控制工程,https://www.zime.edu.cn/__local/3/1A/91/06D231711D28AEDEBD1615151FD_3378335F_DC3A6A.pdf,verified
ZIME-260102,260201,装备智能化技术,https://www.zime.edu.cn/__local/D/11/3A/25F80691C96D0E1748332E2FB4F_A244782A_5B9EEF.pdf,verified
ZIME-260102,460113,模具设计与制造,https://www.zime.edu.cn/__local/7/DF/CF/4E3DA4D0EA2AC5C6D62DCF7A691_FB33365A_193FDE.pdf,verified
ZIME-260102,460201,智能制造装备技术,https://www.zime.edu.cn/__local/E/AC/E4/183959C68E502EC1932E2BEE75B_52AEA557_12C7B9.pdf,verified
ZIME-260303,260303,智能控制技术,https://www.zime.edu.cn/__local/F/CD/91/67859469EC017A2CCE551236356_7D35D27E_610003.pdf,verified
ZIME-260303,260301,机械电子工程技术,https://www.zime.edu.cn/__local/1/D7/EB/17ED081173551027074E29B94ED_09353E07_619D15.pdf,verified
ZIME-260303,460306,电气自动化技术,https://www.zime.edu.cn/__local/6/0F/F1/3706A6C31D692387462A38344A6_B3EA16CE_215012.pdf,verified
ZIME-260303,510103,应用电子技术,https://www.zime.edu.cn/__local/2/3F/5E/9277867113C89CB48A081C2CD9F_D3F588F4_19751C.pdf,verified
ZIME-260303,460305,工业机器人技术,https://www.zime.edu.cn/__local/A/DC/F2/58ABFA4AE1BA580B4729802A45A_B2B1BBBD_157429.pdf,verified
