queue_number,institution_name,province,project_type,list_source_url,verification_status
1,北京科技职业大学,北京,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
2,北京财贸职业学院,北京,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
3,北京工业职业技术学院,北京,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
4,北京经济管理职业学院,北京,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
5,北京劳动保障职业学院,北京,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
6,北京信息职业技术学院,北京,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
7,北京青年政治学院,北京,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
8,天津市职业大学,天津,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
9,天津轻工职业技术学院,天津,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
10,天津电子信息职业技术学院,天津,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
11,天津现代职业技术学院,天津,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
12,天津渤海职业技术学院,天津,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
13,天津交通职业技术学院,天津,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
14,天津海运职业学院,天津,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
15,河北工业职业技术大学,河北,高水平学校,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
16,河北科技工程职业技术大学,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
17,石家庄邮电职业技术学院,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
18,河北化工医药职业技术学院,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
19,河北软件职业技术学院,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
20,唐山工业职业技术大学,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
21,石家庄铁路职业技术学院,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
22,石家庄信息工程职业学院,河北,高水平专业群,https://www.99medic.com/elementor-1907/,school_list_pending_official_confirmation
