institution_code,seed_url,seed_type,evidence_url,verification_status
SXJD,https://www.sxjdxy.edu.cn/rcpy/zyrcpyfa.htm,teaching_affairs,https://www.sxjdxy.edu.cn/rcpy/zyrcpyfa.htm,verified
HNZJ,https://jwc.hnzj.edu.cn/rcpy/znzzxy.htm,teaching_affairs,https://jwc.hnzj.edu.cn/rcpy/znzzxy.htm,verified
HNZJ,https://jwc.hnzj.edu.cn/rcpy/clgcxy.htm,teaching_affairs,https://jwc.hnzj.edu.cn/rcpy/clgcxy.htm,verified
HNZJ,https://jwc.hnzj.edu.cn/rcpy/kzgcxy.htm,teaching_affairs,https://jwc.hnzj.edu.cn/rcpy/kzgcxy.htm,verified
WZVTC,https://jwc.wzvtc.cn/2025/1222/c550679a3161707/page.htm,teaching_affairs,https://jwc.wzvtc.cn/2025/1222/c550679a3161707/page.htm,verified
HNPI,https://www.hnpi.edu.cn/jwc/2025/0930/c624a117552/page.htm,teaching_affairs,https://www.hnpi.edu.cn/jwc/2025/0930/c624a117552/page.htm,verified
BITC,https://admission.bitc.edu.cn/info/1371/5841.htm,teaching_affairs,https://admission.bitc.edu.cn/info/1371/5841.htm,verified
HNCC,https://www.hncc.edu.cn/index/rcpyfa.htm,teaching_affairs,https://www.hncc.edu.cn/index/rcpyfa.htm,verified
BGY,https://www.bgy.edu.cn/xxxw/d60be85826fd425d93a980c229c8dac9.htm,official_group_announcement,https://www.bgy.edu.cn/xxxw/d60be85826fd425d93a980c229c8dac9.htm,verified
BGY,https://jwc.bgy.edu.cn/,teaching_affairs,https://jwc.bgy.edu.cn/,verified
TJMVTC,https://jw.tjmvtc.edu.cn/info/1058/1267.htm,teaching_affairs,https://jw.tjmvtc.edu.cn/info/1058/1267.htm,verified
TJMC,https://jwc.tjmc.edu.cn/wejlist.jsp?urltype=tree.TreeTempUrl&wbtreeid=1951,teaching_affairs,https://jwc.tjmc.edu.cn/wejlist.jsp?urltype=tree.TreeTempUrl&wbtreeid=1951,verified
TJEIC,https://www.tjdz.edu.cn/a/departmentsite/dianzixi/,school_college,https://www.tjdz.edu.cn/a/departmentsite/dianzixi/,verified
CZIMT,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181220/page.htm,teaching_affairs,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181220/page.htm,verified
CZIMT,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181218/page.htm,teaching_affairs,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181218/page.htm,verified
CZIMT,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181226/page.htm,teaching_affairs,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181226/page.htm,verified
CZIMT,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181229/page.htm,teaching_affairs,https://www.czimt.edu.cn/xxgkw/2026/0114/c5483a181229/page.htm,verified
TJTC,https://jwc.tjtc.edu.cn/info/1959/2176.htm,teaching_affairs,https://jwc.tjtc.edu.cn/info/1959/2176.htm,verified
ZFC,https://www.zfc.edu.cn/2025/0627/c3526a64093/page.htm,teaching_affairs,https://www.zfc.edu.cn/2025/0627/c3526a64093/page.htm,verified
ZFC,https://www.zfc.edu.cn/2026/0609/c3526a66870/page.htm,teaching_affairs,https://www.zfc.edu.cn/2026/0609/c3526a66870/page.htm,verified
ZIME,https://www.zime.edu.cn/zjjdjwc/info/1143/1732.htm,teaching_affairs,https://www.zime.edu.cn/zjjdjwc/info/1143/1732.htm,verified
ZIME,https://www.zime.edu.cn/zjjdjwc/info/1143/1734.htm,teaching_affairs,https://www.zime.edu.cn/zjjdjwc/info/1143/1734.htm,verified
ZJTIE,https://jwc.zjtie.edu.cn/65/list.htm,teaching_affairs,https://jwc.zjtie.edu.cn/65/list.htm,verified
ZJTIE,https://ltjj.zjtie.edu.cn/1663/list.htm,college,https://ltjj.zjtie.edu.cn/1663/list.htm,verified
ZJITC,https://jwc.zjitc.edu.cn/info/1003/3054.htm,teaching_affairs,https://jwc.zjitc.edu.cn/info/1003/3054.htm,verified
ZJBC,https://www.zjbc.edu.cn/dit/113/listm2.htm,teaching_affairs,https://www.zjbc.edu.cn/dit/113/listm2.htm,verified
WZVCST,https://dean.wzvcst.edu.cn/info/1087/2122.htm,teaching_affairs,https://dean.wzvcst.edu.cn/info/1087/2122.htm,verified
ZJIET,https://www.zjiet.edu.cn/114/,school_profile,https://www.zjiet.edu.cn/114/,verified
