附件2,,,
安徽省2023年度省级高水平高职学校和专业群建设计划拟立项名单,,,
序号,类别,学校名称,专业群名称
1,"省级高水平
高职学校",芜湖职业技术学院,汽车智能技术
,,,建筑工程技术
,,,机电一体化技术（国家“双高计划”高水平专业群）
,,,食品营养与检测（国家高水平专业群）
2,"省级高水平
高职学校",安徽职业技术学院,机电一体化技术
,,,计算机网络技术
3,"省级高水平
高职学校",安徽商贸职业技术学院,电子商务（国家“双高计划”高水平专业群）
,,,大数据与会计
,,,物联网应用技术
4,"省级高水平
高职学校",合肥职业技术学院,新能源汽车技术
,,,康复治疗技术
5,"省级高水平
高职学校",安徽机电职业技术学院,工业机器人技术（国家“双高计划”高水平专业群）
,,,新能源汽车技术
,,,数控技术
6,"省级高水平
高职学校",安徽工商职业学院,人工智能技术应用
,,,现代物流管理
7,"省级高水平
高职学校",合肥幼儿师范高等专科学校,学前教育
,,,小学教育
8,"省级高水平
高职学校",安徽财贸职业学院,大数据与财务管理
,,,现代物流管理
9,"省级高水平
高职学校",安庆职业技术学院,植物保护与检疫技术
,,,建筑工程技术
10,"省级高水平
高职学校",安徽国际商务职业学院,国际商务
,,,计算机应用技术
11,"省级高水平
高职学校",亳州职业技术学院,中药学
,,,计算机应用技术
12,"省级高水平
高职学校",安徽医学高等专科学校,护理（国家“双高计划”高水平专业群）
,,,临床医学
,,,药学
13,"省级高水平
高职学校",安徽警官职业学院,刑事执行
,,,法律事务
14,"省级高水平
高职学校",安徽中医药高等专科学校,中医学
,,,中药学
15,"省级高水平
高职学校",马鞍山师范高等专科学校,市场营销
,,,食品营养与健康
16,"省级高水平
高职学校",安徽工业经济职业技术学院,宝玉石鉴定与加工
,,,计算机网络技术
17,"省级高水平
高职学校",安徽水利水电职业技术学院,新能源汽车技术
,,,机电一体化技术
,,,水利水电建筑工程（国家“双高计划”高水平专业群）
18,"省级高水平
高职学校",阜阳职业技术学院,机电一体化技术
,,,建筑工程技术
19,"省级高水平
高职学校",安徽交通职业技术学院,城市轨道车辆应用技术
,,,新能源汽车技术
20,"省级高水平
高职学校",池州职业技术学院,园林技术
,,,机电一体化技术
21,"省级高水平
高职学校",安徽国防科技职业学院,机械制造及自动化
,,,大数据技术
22,"省级高水平
高职学校",六安职业技术学院,新能源汽车检测与维修技术
,,,物联网应用技术
23,"省级高水平
高职学校",安徽电子信息职业技术学院,软件技术
,,,机电一体化技术
24,"省级高水平
高职学校",宣城职业技术学院,机械设计与制造
,,,护理
25,"省级高水平
高职学校",铜陵职业技术学院,大数据技术
,,,电子商务
26,"省级高水平
高职学校",淮南职业技术学院,安全技术与管理
,,,机电一体化技术
27,"省级高水平
高职学校",安徽城市管理职业学院,智慧健康养老服务与管理
,,,大数据技术（智慧城市建设与管理） 
28,"省级高水平
高职学校",淮北职业技术学院,护理
,,,机电一体化技术
29,"省级高水平
高职学校",安庆医药高等专科学校,药学
,,,护理
30,"省级高水平
高职学校",安徽审计职业学院,审计
,,,工程造价
31,"省级高水平
高职学校",滁州职业技术学院,机械设计与制造
,,,机电一体化技术
1,"省级高水平
专业群",安徽邮电职业技术学院,现代通信技术
2,"省级高水平
专业群",安徽电气工程职业技术学院,发电厂及电力系统
3,"省级高水平
专业群",皖西卫生职业学院,护理
4,"省级高水平
专业群",淮南联合大学,药学
5,"省级高水平
专业群",徽商职业学院,现代物流管理
6,"省级高水平
专业群",安徽粮食工程职业学院,粮食储运与质量安全
7,"省级高水平
专业群",安徽中澳科技职业学院,旅游管理
8,"省级高水平
专业群",滁州城市职业学院,护理
9,"省级高水平
专业群",安徽扬子职业技术学院,新能源汽车技术
10,"省级高水平
专业群",宿州职业技术学院,动物医学
11,"省级高水平
专业群",安徽体育运动职业技术学院,运动训练
12,"省级高水平
专业群",安徽卫生健康职业学院,临床医学
13,"省级高水平
专业群",安徽艺术职业学院,戏曲表演
14,"省级高水平
专业群",桐城师范高等专科学校,小学教育
15,"省级高水平
专业群",马鞍山职业技术学院,机电一体化技术
16,"省级高水平
专业群",安徽黄梅戏艺术职业学院,戏曲表演
17,"省级高水平
专业群",安徽新闻出版职业技术学院,数字媒体艺术设计
18,"省级高水平
专业群",黄山职业技术学院,旅游管理
19,"省级高水平
专业群",安徽绿海商务职业学院,动漫制作技术
20,"省级高水平
专业群",安徽广播影视职业技术学院,播音与主持
21,"省级高水平
专业群",合肥财经职业学院,大数据与会计
22,"省级高水平
专业群",安徽工业职业技术学院,矿物加工技术
23,"省级高水平
专业群",合肥信息技术职业学院,信息安全技术应用
24,"省级高水平
专业群",合肥科技职业学院,计算机网络技术
25,"省级高水平
专业群",安徽汽车职业技术学院,新能源汽车技术
1,"省级高水平
专业群
培育单位",合肥通用职业技术学院,机电一体化技术
2,"省级高水平
专业群
培育单位",皖北卫生职业学院,护理
3,"省级高水平
专业群
培育单位",安徽矿业职业技术学院,机电一体化技术
4,"省级高水平
专业群
培育单位",阜阳幼儿师范高等专科学校,小学教育
5,"省级高水平
专业群
培育单位",安徽冶金科技职业学院,钢铁智能冶金技术
