层次	专业大类	专业类	专业名称及代码	官方链接	预期字节数	本地相对路径
职业本科	财经商贸大类	财务会计类	330301 大数据与财务管理	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_cwkjl/202502/P020250207566480893342.pdf	371086	职业本科/财经商贸大类/财务会计类/330301_大数据与财务管理.pdf
职业本科	财经商贸大类	财务会计类	330302 大数据与会计	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_cwkjl/202502/P020250207566340615173.pdf	352753	职业本科/财经商贸大类/财务会计类/330302_大数据与会计.pdf
职业本科	财经商贸大类	电子商务类	330701 电子商务	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_dzswl/202502/P020250207567023099509.pdf	350250	职业本科/财经商贸大类/电子商务类/330701_电子商务.pdf
职业本科	财经商贸大类	工商管理类	330602 市场营销	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_gsggl/202502/P020250207566839993435.pdf	346052	职业本科/财经商贸大类/工商管理类/330602_市场营销.pdf
职业本科	财经商贸大类	经济贸易类	330501 国际经济与贸易	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_jjmyl/202502/P020250207566641826499.pdf	352930	职业本科/财经商贸大类/经济贸易类/330501_国际经济与贸易.pdf
职业本科	财经商贸大类	金融类	330201 金融管理	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_jrl/202502/P020250207566188222245.pdf	341107	职业本科/财经商贸大类/金融类/330201_金融管理.pdf
职业本科	财经商贸大类	物流类	330802 现代物流管理	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_cjsmdl/cjsmdl_wll/202502/P020250207567196666115.pdf	362498	职业本科/财经商贸大类/物流类/330802_现代物流管理.pdf
职业本科	电子与信息大类	电子信息类	310101 电子信息工程技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_dzyxxdl/dzxxdl_dzxxl/202502/P020250207565102932148.pdf	389463	职业本科/电子与信息大类/电子信息类/310101_电子信息工程技术.pdf
职业本科	电子与信息大类	电子信息类	310102 物联网工程技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_dzyxxdl/dzxxdl_dzxxl/202502/P020250207565309725111.pdf	374365	职业本科/电子与信息大类/电子信息类/310102_物联网工程技术.pdf
职业本科	电子与信息大类	计算机类	310201 计算机应用工程	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_bk/bk_dzyxxdl/dzxxdl_jsjl/202502/P020250207565640134588.pdf	356602	职业本科/电子与信息大类/计算机类/310201_计算机应用工程.pdf
