层次	专业名称及代码	预期字节数	实际字节数	PDF文件头	状态	本地相对路径
职业本科	330301 大数据与财务管理	371086	371086	%PDF-	OK	职业本科/财经商贸大类/财务会计类/330301_大数据与财务管理.pdf
职业本科	330302 大数据与会计	352753	352753	%PDF-	OK	职业本科/财经商贸大类/财务会计类/330302_大数据与会计.pdf
职业本科	330701 电子商务	350250	350250	%PDF-	OK	职业本科/财经商贸大类/电子商务类/330701_电子商务.pdf
职业本科	330602 市场营销	346052	346052	%PDF-	OK	职业本科/财经商贸大类/工商管理类/330602_市场营销.pdf
职业本科	330501 国际经济与贸易	352930	352930	%PDF-	OK	职业本科/财经商贸大类/经济贸易类/330501_国际经济与贸易.pdf
职业本科	330201 金融管理	341107	341107	%PDF-	OK	职业本科/财经商贸大类/金融类/330201_金融管理.pdf
职业本科	330802 现代物流管理	362498	362498	%PDF-	OK	职业本科/财经商贸大类/物流类/330802_现代物流管理.pdf
职业本科	310101 电子信息工程技术	389463	389463	%PDF-	OK	职业本科/电子与信息大类/电子信息类/310101_电子信息工程技术.pdf
职业本科	310102 物联网工程技术	374365	374365	%PDF-	OK	职业本科/电子与信息大类/电子信息类/310102_物联网工程技术.pdf
职业本科	310201 计算机应用工程	356602	356602	%PDF-	OK	职业本科/电子与信息大类/计算机类/310201_计算机应用工程.pdf
职业本科	310202 网络工程技术	365471	365471	%PDF-	OK	职业本科/电子与信息大类/计算机类/310202_网络工程技术.pdf
职业本科	310203 软件工程技术	370834	370834	%PDF-	OK	职业本科/电子与信息大类/计算机类/310203_软件工程技术.pdf
职业本科	310204 数字媒体技术	349885	349885	%PDF-	OK	职业本科/电子与信息大类/计算机类/310204_数字媒体技术.pdf
职业本科	310205 大数据工程技术	358979	358979	%PDF-	OK	职业本科/电子与信息大类/计算机类/310205_大数据工程技术.pdf
职业本科	310207 信息安全与管理	365841	365841	%PDF-	OK	职业本科/电子与信息大类/计算机类/310207_信息安全与管理.pdf
职业本科	310212 区块链技术	338434	338434	%PDF-	OK	职业本科/电子与信息大类/计算机类/310212_区块链技术.pdf
职业本科	310301 现代通信工程	361927	361927	%PDF-	OK	职业本科/电子与信息大类/通信类/310301_现代通信工程.pdf
职业本科	300601 城市轨道交通信号与控制技术	347516	347516	%PDF-	OK	职业本科/交通运输大类/城市轨道交通类/300601_城市轨道交通信号与控制技术.pdf
职业本科	300203 汽车服务工程技术	345928	345928	%PDF-	OK	职业本科/交通运输大类/道路运输类/300203_汽车服务工程技术.pdf
职业本科	370101 学前教育	354103	354103	%PDF-	OK	职业本科/教育与体育大类/教育类/370101_学前教育.pdf
职业本科	370301 社会体育指导与管理	358560	358560	%PDF-	OK	职业本科/教育与体育大类/体育类/370301_社会体育指导与管理.pdf
职业本科	370201 应用英语	355312	355312	%PDF-	OK	职业本科/教育与体育大类/语言类/370201_应用英语.pdf
职业本科	340101 旅游管理	344841	344841	%PDF-	OK	职业本科/旅游大类/旅游类/340101_旅游管理.pdf
职业本科	340102 酒店管理	357562	357562	%PDF-	OK	职业本科/旅游大类/旅游类/340102_酒店管理.pdf
职业本科	210103 智慧农业技术	336898	336898	%PDF-	OK	职业本科/农林牧渔大类/农业类/210103_智慧农业技术.pdf
职业本科	210104 设施园艺	365697	365697	%PDF-	OK	职业本科/农林牧渔大类/农业类/210104_设施园艺.pdf
职业本科	210301 动物医学	378392	378392	%PDF-	OK	职业本科/农林牧渔大类/畜牧业类/210301_动物医学.pdf
职业本科	210304 现代畜牧	382975	382975	%PDF-	OK	职业本科/农林牧渔大类/畜牧业类/210304_现代畜牧.pdf
职业本科	240501 工程造价	347822	347822	%PDF-	OK	职业本科/土木建筑大类/建设工程管理类/240501_工程造价.pdf
职业本科	240502 建设工程管理	347558	347558	%PDF-	OK	职业本科/土木建筑大类/建设工程管理类/240502_建设工程管理.pdf
职业本科	240101 建筑设计	362009	362009	%PDF-	OK	职业本科/土木建筑大类/建筑设计类/240101_建筑设计.pdf
职业本科	240301 建筑工程	340250	340250	%PDF-	OK	职业本科/土木建筑大类/土建施工类/240301_建筑工程.pdf
职业本科	350201 音乐表演	343009	343009	%PDF-	OK	职业本科/文化艺术大类/表演艺术类/350201_音乐表演.pdf
职业本科	350202 舞蹈表演与编导	346669	346669	%PDF-	OK	职业本科/文化艺术大类/表演艺术类/350202_舞蹈表演与编导.pdf
职业本科	350101 工艺美术	366442	366442	%PDF-	OK	职业本科/文化艺术大类/艺术设计类/350101_工艺美术.pdf
职业本科	350102 视觉传达设计	348486	348486	%PDF-	OK	职业本科/文化艺术大类/艺术设计类/350102_视觉传达设计.pdf
职业本科	350103 数字媒体艺术	343670	343670	%PDF-	OK	职业本科/文化艺术大类/艺术设计类/350103_数字媒体艺术.pdf
职业本科	350105 服装与服饰设计	354763	354763	%PDF-	OK	职业本科/文化艺术大类/艺术设计类/350105_服装与服饰设计.pdf
职业本科	350106 环境艺术设计	360493	360493	%PDF-	OK	职业本科/文化艺术大类/艺术设计类/350106_环境艺术设计.pdf
职业本科	360201 播音与主持	348475	348475	%PDF-	OK	职业本科/新闻传播大类/广播影视类/360201_播音与主持.pdf
职业本科	360202 影视摄影与制作	352327	352327	%PDF-	OK	职业本科/新闻传播大类/广播影视类/360202_影视摄影与制作.pdf
职业本科	360204 影视编导	366573	366573	%PDF-	OK	职业本科/新闻传播大类/广播影视类/360204_影视编导.pdf
职业本科	360206 数字动画	358929	358929	%PDF-	OK	职业本科/新闻传播大类/广播影视类/360206_数字动画.pdf
职业本科	360101 网络与新媒体	338614	338614	%PDF-	OK	职业本科/新闻传播大类/新闻出版类/360101_网络与新媒体.pdf
职业本科	320201 护理	364877	364877	%PDF-	OK	职业本科/医药卫生大类/护理类/320201_护理.pdf
职业本科	320601 康复治疗	373337	373337	%PDF-	OK	职业本科/医药卫生大类/康复治疗类/320601_康复治疗.pdf
职业本科	320301 药学	374007	374007	%PDF-	OK	职业本科/医药卫生大类/药学类/320301_药学.pdf
职业本科	320401 中药制药	357190	357190	%PDF-	OK	职业本科/医药卫生大类/中医药类/320401_中药制药.pdf
职业本科	270201 应用化工技术	359521	359521	%PDF-	OK	职业本科/生物与化工大类/化工技术类/270201_应用化工技术.pdf
职业本科	260601 航空智能制造技术	357972	357972	%PDF-	OK	职业本科/装备制造大类/航空装备类/260601_航空智能制造技术.pdf
职业本科	260602 飞行器维修工程技术	357568	357568	%PDF-	OK	职业本科/装备制造大类/航空装备类/260602_飞行器维修工程技术.pdf
职业本科	260604 无人机系统应用技术	356405	356405	%PDF-	OK	职业本科/装备制造大类/航空装备类/260604_无人机系统应用技术.pdf
职业本科	260203 电梯工程技术	340476	340476	%PDF-	OK	职业本科/装备制造大类/机电设备类/260203_电梯工程技术.pdf
职业本科	260101 机械设计制造及自动化	364618	364618	%PDF-	OK	职业本科/装备制造大类/机械设计制造类/260101_机械设计制造及自动化.pdf
